#source_node	source_class	dest_node	dest_class	edge_class
1	R	1	U	R-U
1	U	2	R	U-R
1	U	3	R	U-R
1	U	4	R	U-R
1	U	5	R	U-R
1	U	1	R	U-R
1	U	6	R	U-R
1	U	7	R	U-R
1	U	8	R	U-R
1	U	9	R	U-R
1	U	10	R	U-R
1	U	2	U	U->U
1	U	3	U	U->U
1	U	4	U	U->U
1	U	5	U	U->U
1	U	6	U	U->U
1	U	7	U	U->U
8	U	1	U	U->U
9	U	1	U	U->U
10	U	1	U	U->U
11	U	1	U	U->U
3	U	1	U	U->U
12	U	1	U	U->U
13	U	1	U	U->U
5	U	1	U	U->U
14	U	1	U	U->U
6	U	1	U	U->U
7	U	1	U	U->U
15	U	1	U	U->U
11	R	16	U	R-U
16	U	12	R	U-R
16	U	13	R	U-R
16	U	14	R	U-R
16	U	15	R	U-R
16	U	16	R	U-R
16	U	11	R	U-R
16	U	17	U	U->U
16	U	18	U	U->U
16	U	19	U	U->U
16	U	20	U	U->U
16	U	21	U	U->U
16	U	22	U	U->U
16	U	23	U	U->U
16	U	24	U	U->U
16	U	25	U	U->U
16	U	26	U	U->U
17	U	16	U	U->U
27	U	16	U	U->U
28	U	16	U	U->U
19	U	16	U	U->U
29	U	16	U	U->U
30	U	16	U	U->U
31	U	16	U	U->U
32	U	16	U	U->U
20	U	16	U	U->U
33	U	16	U	U->U
22	U	16	U	U->U
24	U	16	U	U->U
26	U	16	U	U->U
17	R	34	U	R-U
34	U	17	R	U-R
34	U	18	R	U-R
17	R	19	R	R->R
17	R	20	R	R->R
17	R	21	R	R->R
17	R	22	R	R->R
17	R	17	R	R->R
17	R	23	R	R->R
17	R	24	R	R->R
17	R	25	R	R->R
17	R	26	R	R->R
17	R	27	R	R->R
17	R	28	R	R->R
17	R	29	R	R->R
17	R	30	R	R->R
17	R	31	R	R->R
17	R	32	R	R->R
34	U	35	U	U->U
34	U	36	U	U->U
34	U	37	U	U->U
34	U	38	U	U->U
34	U	39	U	U->U
34	U	40	U	U->U
34	U	41	U	U->U
34	U	42	U	U->U
34	U	43	U	U->U
34	U	44	U	U->U
34	U	45	U	U->U
34	U	46	U	U->U
34	U	47	U	U->U
34	U	48	U	U->U
34	U	49	U	U->U
34	U	50	U	U->U
34	U	51	U	U->U
34	U	52	U	U->U
34	U	53	U	U->U
34	U	54	U	U->U
34	U	55	U	U->U
34	U	56	U	U->U
34	U	57	U	U->U
34	U	58	U	U->U
34	U	59	U	U->U
34	U	60	U	U->U
34	U	61	U	U->U
33	R	62	U	R-U
62	U	33	R	U-R
62	U	34	R	U-R
62	U	35	R	U-R
33	R	36	R	R->R
33	R	33	R	R->R
33	R	37	R	R->R
33	R	38	R	R->R
62	U	63	U	U->U
62	U	64	U	U->U
65	U	62	U	U->U
66	U	62	U	U->U
39	R	67	U	R-U
67	U	40	R	U-R
67	U	41	R	U-R
67	U	42	R	U-R
67	U	39	R	U-R
67	U	43	R	U-R
67	U	44	R	U-R
45	R	68	U	R-U
68	U	46	R	U-R
68	U	47	R	U-R
68	U	48	R	U-R
68	U	49	R	U-R
68	U	50	R	U-R
68	U	45	R	U-R
68	U	51	R	U-R
68	U	52	R	U-R
53	R	69	U	R-U
69	U	54	R	U-R
69	U	55	R	U-R
69	U	56	R	U-R
69	U	57	R	U-R
69	U	58	R	U-R
69	U	59	R	U-R
69	U	60	R	U-R
69	U	61	R	U-R
69	U	53	R	U-R
69	U	62	R	U-R
69	U	63	R	U-R
53	R	64	R	R->R
53	R	65	R	R->R
53	R	66	R	R->R
53	R	53	R	R->R
69	U	70	U	U->U
70	U	69	U	U->U
67	R	71	U	R-U
71	U	68	R	U-R
71	U	67	R	U-R
71	U	69	R	U-R
70	R	72	U	R-U
71	R	73	U	R-U
72	R	74	U	R-U
74	U	73	R	U-R
74	U	74	R	U-R
74	U	75	R	U-R
74	U	76	R	U-R
74	U	77	R	U-R
74	U	78	R	U-R
74	U	79	R	U-R
74	U	80	R	U-R
74	U	81	R	U-R
74	U	82	R	U-R
74	U	83	R	U-R
74	U	84	R	U-R
74	U	85	R	U-R
74	U	86	R	U-R
87	R	72	R	R->R
72	R	88	R	R->R
72	R	89	R	R->R
72	R	90	R	R->R
72	R	72	R	R->R
72	R	91	R	R->R
72	R	92	R	R->R
72	R	93	R	R->R
72	R	94	R	R->R
72	R	95	R	R->R
72	R	96	R	R->R
72	R	97	R	R->R
72	R	98	R	R->R
72	R	99	R	R->R
72	R	100	R	R->R
72	R	101	R	R->R
72	R	102	R	R->R
72	R	103	R	R->R
72	R	104	R	R->R
72	R	105	R	R->R
72	R	106	R	R->R
74	U	75	U	U->U
74	U	76	U	U->U
74	U	77	U	U->U
74	U	78	U	U->U
74	U	79	U	U->U
74	U	80	U	U->U
74	U	81	U	U->U
74	U	82	U	U->U
74	U	83	U	U->U
74	U	84	U	U->U
74	U	85	U	U->U
74	U	86	U	U->U
74	U	87	U	U->U
74	U	88	U	U->U
74	U	89	U	U->U
74	U	90	U	U->U
74	U	91	U	U->U
74	U	92	U	U->U
74	U	93	U	U->U
74	U	94	U	U->U
74	U	95	U	U->U
74	U	96	U	U->U
74	U	97	U	U->U
74	U	98	U	U->U
74	U	99	U	U->U
74	U	100	U	U->U
74	U	101	U	U->U
74	U	102	U	U->U
74	U	103	U	U->U
74	U	104	U	U->U
74	U	105	U	U->U
74	U	106	U	U->U
74	U	107	U	U->U
74	U	108	U	U->U
74	U	109	U	U->U
74	U	110	U	U->U
74	U	111	U	U->U
74	U	112	U	U->U
74	U	113	U	U->U
74	U	114	U	U->U
74	U	115	U	U->U
74	U	116	U	U->U
74	U	117	U	U->U
74	U	118	U	U->U
74	U	119	U	U->U
74	U	120	U	U->U
74	U	121	U	U->U
74	U	122	U	U->U
74	U	123	U	U->U
74	U	124	U	U->U
125	U	74	U	U->U
126	U	74	U	U->U
127	U	74	U	U->U
128	U	74	U	U->U
129	U	74	U	U->U
130	U	74	U	U->U
75	U	74	U	U->U
131	U	74	U	U->U
132	U	74	U	U->U
133	U	74	U	U->U
134	U	74	U	U->U
135	U	74	U	U->U
136	U	74	U	U->U
137	U	74	U	U->U
138	U	74	U	U->U
139	U	74	U	U->U
140	U	74	U	U->U
141	U	74	U	U->U
142	U	74	U	U->U
143	U	74	U	U->U
144	U	74	U	U->U
145	U	74	U	U->U
146	U	74	U	U->U
147	U	74	U	U->U
148	U	74	U	U->U
149	U	74	U	U->U
150	U	74	U	U->U
151	U	74	U	U->U
152	U	74	U	U->U
153	U	74	U	U->U
154	U	74	U	U->U
155	U	74	U	U->U
156	U	74	U	U->U
157	U	74	U	U->U
158	U	74	U	U->U
159	U	74	U	U->U
160	U	74	U	U->U
161	U	74	U	U->U
162	U	74	U	U->U
163	U	74	U	U->U
164	U	74	U	U->U
165	U	74	U	U->U
166	U	74	U	U->U
167	U	74	U	U->U
168	U	74	U	U->U
169	U	74	U	U->U
170	U	74	U	U->U
171	U	74	U	U->U
172	U	74	U	U->U
173	U	74	U	U->U
107	R	174	U	R-U
174	U	108	R	U-R
174	U	109	R	U-R
