Github repo address, virus total result
https://github.com/kcolford/blackarch, 36/62
https://github.com/meedan/check-api, 36/60
https://github.com/commixproject/commix, 6/63
https://github.com/HL7/fhir-mCODE-ig, 6/63
https://github.com/HL7/fhir-security-label-ds4p, 6/63
https://github.com/danielberman79/goof, 10/61
https://github.com/grpc/grpc-node, 6/63
https://github.com/TonyYouhu/Hellojava, 8/63
https://github.com/rapid7/insightconnect-plugins, 6/56
https://github.com/einheit/maia_mailguard_1.04a, 24/58
https://github.com/microsoft/microsoft-ui-xaml, 7/61
https://github.com/NodeBB/NodeBB, 6/61
https://github.com/garbas/nvim-config, 8/62
https://github.com/ThibautSF/ParadoxosModManagerRework, 19/66
https://github.com/FONZACUS/processhacker, 11/64
https://github.com/dotnet/project-system, 6/61
https://github.com/pyinstaller/pyinstaller, 8/65
https://github.com/qilingframework/qiling, 15/65
https://github.com/threat9/routersploit, 11/63
https://github.com/mozilla/addons-linter, 30/62
https://github.com/neoclide/coc.nvim, 6/61
https://github.com/domoticz/domoticz, 7/59
https://github.com/secure-software-engineering/FlowDroid, 25/60
https://github.com/andyholmes/gnome-shell-extension-gsconnect, 6/63
https://github.com/image-rs/image-png, 14/61
https://github.com/cars/lab-vsphere-packer-templates, 8/63
https://github.com/cftexukeqin/mxonline, 11/63
https://github.com/ministryofjustice/opg-digideps, 43/65
https://github.com/zolex/rautavistik, 17/61
https://github.com/cds-snc/report-a-cybercrime, 48/64
https://github.com/xiaokang00010/xiaokang00010.github.io, 16/63
https://github.com/AFLplusplus/AFLplusplus, 7/63
https://github.com/redcanaryco/atomic-red-team, 48/65
https://github.com/rednek46/BlockTheSpot, 6/63
https://github.com/domoticz/domoticz, 7/60
https://github.com/queen-of-code/DotnetModelFuzzing, 41/63
https://github.com/AlessandroZ/LaZagne, 10/60
https://github.com/leecher1337/ntvdmx64, 25/64
https://github.com/ucsb-seclab/packware, 46/63
https://github.com/hashicorp/vagrant-installers, 9/63
https://github.com/XploitWizer/XploitSPY, 17/63
https://github.com/ao-libre/ao-server, 9/64
https://github.com/BC-SECURITY/Empire, 47/65
https://github.com/mitre-attack/evals_caldera, 22/60
https://github.com/SpamScope/mail-parser, 37/62
https://github.com/security-geeks/maltrail, 14/62
https://github.com/supremethememe/supreme-executer, 30/64
https://github.com/syscl/XPS9350-macOS, 10/64
https://github.com/cs-utcn-groups/2-dsa, 8/65
https://github.com/ao-libre/ao-server, 8/63
https://github.com/ArchStrike/ArchStrike, 9/57
https://github.com/splunk/attack_range, 7/66
https://github.com/bebasid/bebasid, 6/65
https://github.com/BlackHacker511/BlackNET, 41/65
https://github.com/borfirbora/borfirbora.github.io, 11/59
https://github.com/fengjixuchui/cheat-engine, 12/63
https://github.com/cuckoosandbox/cuckoo, 41/65
https://github.com/andyholmes/gnome-shell-extension-gsconnect, 6/62
https://github.com/Whitetigerswt/gtasa_crashfix, 10/63
https://github.com/ShiSheng233/How_to_Fxxk_Weilei_s_Server, 35/64
https://github.com/igraph/igraph, 6/62
https://github.com/LevPasha/Instagram-bot-cs, 7/65
https://github.com/Ramos-dev/jniwebshell, 7/60
https://github.com/fengjixuchui/Ladon, 44/66
https://github.com/Mailu/Mailu, 45/64
https://github.com/hardware/mailserver, 28/63
https://github.com/security-geeks/maltrail, 11/63
https://github.com/r00t-3xp10it/meterpeter, 12/65
https://github.com/UbuntuEvangelist/postal, 27/63
https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite, 40/65
https://github.com/tiagorlampert/sAINT, 17/60
https://github.com/us3r/sigma, 7/63
https://github.com/1DavidCarbon/Soapbox_Launcher_Installer, 27/65
https://github.com/OISF/suricata-verify, 11/63
https://github.com/ceramicskate0/SWELF, 9/62
https://github.com/JairoBoss/ULSA-C, 7/63
https://github.com/puppylinux-woof-CE/woof-CE, 7/63
https://github.com/wurstscript/WurstScript, 6/62
https://github.com/xmrig/xmrig, 13/65
https://github.com/RepoBackup/xuexiqiangguo, 10/63
https://github.com/vokins/yhosts, 14/64
https://github.com/engineer-man/youtube, 9/60
https://github.com/ZcashFoundation/zecwallet, 21/65
https://github.com/takkii/zinbei, 9/65
